polygon_id,original_polygon_id
0,0
2,2
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
48,48
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
100,100
101,101
102,102
103,103
104,104
105,105
106,106
107,107
108,108
109,109
110,110
111,111
112,112
113,113
114,114
115,115
116,116
117,117
118,118
119,119
120,120
121,121
122,122
123,123
124,124
125,125
126,126
127,127
128,128
129,129
130,130
131,131
132,132
134,134
135,135
136,136
137,137
138,138
139,139
140,140
141,141
142,142
143,143
144,144
145,145
146,146
148,148
149,149
150,150
151,151
152,152
153,153
155,155
156,156
157,157
158,158
159,159
160,160
161,161
162,162
163,163
164,164
165,165
166,166
167,167
168,168
169,169
170,170
171,171
172,172
173,173
174,174
175,175
176,176
177,177
178,178
179,179
180,180
181,181
182,182
183,183
184,184
185,185
186,186
187,187
188,188
189,189
190,190
191,191
192,192
193,193
194,194
195,195
196,196
197,197
198,198
199,199
200,200
201,201
202,202
203,203
204,204
205,205
206,206
207,207
208,208
209,209
210,210
211,211
212,212
213,213
214,214
215,215
216,216
217,217
218,218
219,219
220,220
221,221
222,222
223,223
224,224
225,225
226,226
227,227
228,228
229,229
230,230
231,231
232,232
233,233
234,234
235,235
237,237
238,238
239,239
240,240
241,241
242,242
243,243
244,244
245,245
246,246
251,251
254,254
256,256
258,258
260,260
261,261
264,264
265,265
267,267
268,268
270,270
275,275
276,276
278,278
279,279
281,281
283,283
284,284
285,285
286,286
287,287
294,294
296,296
299,299
304,304
305,305
307,307
311,311
312,312
315,315
316,316
317,317
318,318
320,320
321,321
324,324
326,326
327,327
328,328
332,332
334,334
335,335
338,338
339,339
341,341
342,342
343,343
344,344
346,346
347,347
348,348
350,350
352,352
353,353
354,354
355,355
357,357
358,358
360,360
364,364
365,365
366,366
368,368
369,369
370,370
372,372
376,376
377,377
378,378
382,382
383,383
384,384
386,386
388,388
390,390
391,391
392,392
393,393
394,394
396,396
397,397
398,398
400,400
401,401
402,402
403,403
405,405
406,406
408,408
409,409
411,411
412,412
413,413
414,414
415,415
418,418
420,420
421,421
422,422
423,423
424,424
425,425
429,429
432,432
435,435
436,436
439,439
440,440
443,443
444,444
445,445
448,448
450,450
452,452
455,455
457,457
459,459
460,460
462,462
464,464
465,465
466,466
468,468
469,469
470,470
471,471
474,474
478,478
479,479
480,480
481,481
482,482
485,485
487,487
488,488
489,489
491,491
494,494
496,496
497,497
499,499
500,500
501,501
502,502
503,503
504,504
505,505
506,506
507,507
508,508
511,511
513,513
514,514
515,515
516,516
517,517
518,518
519,519
520,520
523,523
525,525
526,526
527,527
529,529
530,530
532,532
534,534
536,536
537,537
538,538
539,539
540,540
541,541
542,542
543,543
544,544
546,546
547,547
548,548
549,549
550,550
551,551
552,552
554,554
555,555
556,556
557,557
558,558
560,560
561,561
562,562
563,563
564,564
565,565
566,566
567,567
569,569
570,570
572,572
573,573
574,574
576,576
577,577
578,578
580,580
581,581
582,582
583,583
584,584
585,585
586,586
589,589
590,590
591,591
592,592
594,594
595,595
596,596
597,597
598,598
599,599
600,600
602,602
603,603
607,607
608,608
609,609
610,610
611,611
612,612
613,613
614,614
615,615
616,616
617,617
618,618
619,619
620,620
621,621
622,622
623,623
624,624
625,625
626,626
627,627
628,628
629,629
630,630
631,631
632,632
633,633
634,634
635,635
636,636
637,637
638,638
639,639
641,641
642,642
644,644
645,645
646,646
647,647
648,648
649,649
650,650
651,651
652,652
653,653
654,654
656,656
657,657
658,658
660,660
661,661
662,662
663,663
664,664
665,665
666,666
667,667
668,668
669,669
670,670
671,671
672,672
673,673
674,674
678,678
679,679
680,680
681,681
682,682
683,683
684,684
687,687
688,688
689,689
690,690
692,692
693,693
694,694
695,695
696,696
697,697
698,698
699,699
700,700
701,701
702,702
703,703
705,705
706,706
707,707
708,708
709,709
710,710
711,711
712,712
713,713
714,714
715,1057
717,1059
718,1060
719,1061
720,1062
721,1063
722,1064
724,1066
725,1067
726,1068
727,1069
728,1070
729,1071
731,1073
732,1074
733,1075
735,1077
736,1078
737,1079
738,1080
739,1081
740,1082
741,1083
745,1087
746,1088
747,1089
748,1090
749,1091
750,1092
751,1093
752,1094
