row_id,polygon_id,ring_id,distance_px,distance_map,raster_row,raster_col,x,y,original_polygon_id
0,134,0,0.068784,6e-06,906,1470,104.03277,30.884304,134
1,134,0,0.188561,1.7e-05,907,1468,104.03259,30.884214,134
2,134,0,0.589642,5.3e-05,907,1469,104.03268,30.884214,134
3,134,0,0.692144,6.2e-05,907,1470,104.03277,30.884214,134
4,134,0,0.689433,6.2e-05,908,1467,104.032501,30.884124,134
5,134,1,1.082988,9.7e-05,908,1468,104.03259,30.884124,134
6,134,1,1.530201,0.000137,908,1469,104.03268,30.884124,134
7,134,1,1.270363,0.000114,908,1470,104.03277,30.884124,134
8,134,0,0.431542,3.9e-05,908,1471,104.03286,30.884124,134
9,134,0,0.266604,2.4e-05,909,1467,104.032501,30.884035,134
10,134,1,1.075138,9.7e-05,909,1468,104.03259,30.884035,134
11,134,0,0.777452,7e-05,909,1469,104.03268,30.884035,134
12,134,0,0.359017,3.2e-05,909,1470,104.03277,30.884035,134
13,134,0,0.309755,2.8e-05,910,1468,104.03259,30.883945,134
14,221,0,0.277179,2.5e-05,336,929,103.984171,30.935508,221
15,221,0,0.663722,6e-05,336,930,103.984261,30.935508,221
16,221,0,0.337731,3e-05,336,931,103.984351,30.935508,221
17,221,0,0.774961,7e-05,337,929,103.984171,30.935418,221
18,221,1,1.313821,0.000118,337,930,103.984261,30.935418,221
19,221,0,0.583319,5.2e-05,337,931,103.984351,30.935418,221
20,221,0,0.0477,4e-06,338,928,103.984081,30.935328,221
21,221,0,0.025015,2e-06,338,929,103.984171,30.935328,221
22,221,0,0.378083,3.4e-05,338,930,103.984261,30.935328,221
23,221,0,0.230044,2.1e-05,338,931,103.984351,30.935328,221
24,735,0,0.126744,1.1e-05,1423,2510,104.126195,30.837861,1077
25,735,0,0.879639,7.9e-05,1424,2510,104.126195,30.837771,1077
26,735,0,0.45119,4.1e-05,1424,2511,104.126285,30.837771,1077
27,735,0,0.798684,7.2e-05,1425,2510,104.126195,30.837681,1077
28,735,0,0.472019,4.2e-05,1425,2511,104.126285,30.837681,1077
29,735,0,0.645937,5.8e-05,1426,2510,104.126195,30.837592,1077
30,735,0,0.492848,4.4e-05,1426,2511,104.126285,30.837592,1077
31,735,0,0.482051,4.3e-05,1427,2510,104.126195,30.837502,1077
