parcel_id,vector_class,spatial_group_30m,spatial_cv_fold
0,1,0,2
1,2,0,2
2,1,2,0
3,1,3,2
4,1,4,3
5,1,5,4
6,1,6,1
7,1,7,3
8,1,8,1
9,1,9,1
10,1,10,3
11,1,11,4
12,1,12,4
13,1,13,4
14,2,14,3
15,2,15,0
16,2,16,3
17,1,17,2
18,2,18,2
19,2,19,0
20,2,20,2
21,1,21,1
22,2,22,2
23,1,23,0
24,3,24,4
25,1,25,0
26,3,26,4
27,3,27,2
28,2,28,1
29,2,29,2
30,2,30,3
31,2,31,4
32,1,32,0
33,1,33,2
34,1,132,0
35,1,35,3
36,1,132,0
37,1,132,0
38,1,38,1
39,1,38,1
40,1,42,3
41,1,42,3
42,1,42,3
43,3,43,0
44,1,44,4
45,1,44,4
46,2,46,1
47,2,46,1
48,2,48,2
49,2,49,3
50,1,50,4
51,1,50,4
52,1,50,4
53,1,149,4
54,1,149,4
55,1,149,4
56,2,56,1
57,1,57,1
58,1,57,1
59,1,59,1
60,1,59,1
61,1,59,1
62,1,192,2
63,1,192,2
64,1,192,2
65,2,66,0
66,1,66,0
67,3,66,0
68,1,68,4
69,1,68,4
70,1,68,4
71,3,71,3
72,1,71,3
73,2,73,4
74,2,73,4
75,1,73,4
76,3,76,3
77,1,77,2
78,1,77,2
79,1,79,4
80,1,79,4
81,1,79,4
82,3,82,0
83,3,82,0
84,3,82,0
85,3,85,1
86,1,85,1
87,1,87,3
88,1,87,3
89,1,87,3
90,1,90,2
91,1,90,2
92,1,90,2
93,1,90,2
94,1,94,2
95,1,94,2
96,1,96,0
97,1,97,4
98,1,97,4
99,1,97,4
100,1,100,4
101,1,100,4
102,1,100,4
103,1,103,1
104,1,103,1
105,1,103,1
106,1,106,1
107,1,106,1
108,1,106,1
109,1,109,2
110,1,109,2
111,1,111,0
112,2,111,0
113,1,412,1
114,1,412,1
115,1,412,1
116,1,412,1
117,1,117,4
118,1,117,4
119,1,252,4
120,1,252,4
121,1,252,4
122,1,122,4
123,1,122,4
124,1,124,0
125,1,124,0
126,1,35,3
127,2,35,3
128,1,35,3
129,1,35,3
130,1,35,3
131,2,131,1
132,2,132,0
133,2,133,4
134,2,134,2
135,2,135,1
136,2,135,1
137,3,43,0
138,2,44,4
139,1,139,0
140,2,139,0
141,2,141,2
142,3,50,4
143,3,143,3
144,1,143,3
145,2,145,1
146,2,146,2
147,2,147,0
148,2,147,0
149,3,149,4
150,3,149,4
151,3,149,4
152,3,152,3
153,2,153,0
154,1,154,1
155,1,155,2
156,2,156,4
157,2,156,4
158,3,158,3
159,3,159,4
160,3,159,4
161,3,161,0
162,3,162,2
163,3,163,0
164,3,163,0
165,3,165,1
166,2,165,1
167,1,165,1
168,2,168,3
169,3,169,2
170,2,169,2
171,3,169,2
172,3,172,2
173,3,172,2
174,3,172,2
175,1,175,4
176,3,176,1
177,3,176,1
178,3,176,1
179,3,176,1
180,3,180,3
181,3,176,1
182,3,176,1
183,2,183,4
184,3,184,1
185,3,185,1
186,2,186,3
187,3,187,4
188,3,188,4
189,3,188,4
190,3,190,3
191,3,191,3
192,3,192,2
193,3,192,2
194,3,192,2
195,3,192,2
196,3,196,0
197,1,197,2
198,2,198,1
199,2,199,4
200,3,200,4
201,2,200,4
202,3,202,0
203,2,202,0
204,3,202,0
205,2,205,2
206,3,206,0
207,3,207,1
208,3,208,2
209,1,208,2
210,3,210,3
211,3,211,3
212,3,212,1
213,3,213,4
214,3,214,0
215,2,216,2
216,3,216,2
217,3,217,4
218,3,217,4
219,3,219,1
220,2,220,0
221,3,221,1
222,3,222,3
223,3,223,2
224,1,224,0
225,3,90,2
226,3,226,1
227,2,227,2
228,3,228,4
229,2,229,2
230,3,230,3
231,3,231,1
232,3,232,0
233,3,232,0
234,3,100,4
235,3,235,2
236,3,236,3
237,2,237,3
238,3,407,3
239,3,407,3
240,3,240,4
241,3,241,0
242,3,242,1
243,3,243,2
244,3,244,3
245,3,245,4
246,3,246,0
247,3,247,1
248,2,248,1
249,1,249,2
250,3,250,3
251,2,252,4
252,3,252,4
253,1,122,4
254,1,254,4
255,1,255,0
256,1,255,0
257,1,255,0
258,2,255,0
259,2,259,2
260,2,259,2
261,2,261,3
262,2,261,3
263,2,261,3
264,3,261,3
265,2,261,3
266,2,266,1
267,2,267,4
268,2,267,4
269,2,269,1
270,2,269,1
271,3,271,0
272,3,271,0
273,3,271,0
274,2,274,4
275,2,274,4
276,2,274,4
277,3,277,0
278,2,278,4
279,2,278,4
280,3,280,2
281,3,281,3
282,3,281,3
283,3,281,3
284,3,284,0
285,3,284,0
286,3,286,2
287,3,287,1
288,3,287,1
289,3,287,1
290,3,290,3
291,2,290,3
292,3,290,3
293,3,290,3
294,3,294,3
295,2,295,4
296,2,296,0
297,3,297,4
298,3,298,1
299,2,298,1
300,2,305,0
301,2,305,0
302,2,305,0
303,2,305,0
304,2,305,0
305,2,305,0
306,3,305,0
307,3,307,0
308,3,308,1
309,3,309,2
310,2,309,2
311,2,311,3
312,3,312,3
313,2,313,0
314,2,313,0
315,2,315,3
316,3,315,3
317,3,315,3
318,3,318,4
319,2,318,4
320,3,318,4
321,3,321,3
322,2,321,3
323,2,321,3
324,2,321,3
325,3,325,2
326,3,325,2
327,2,327,4
328,2,327,4
329,2,327,4
330,3,330,1
331,2,330,1
332,3,332,0
333,2,332,0
334,2,332,0
335,2,335,3
336,2,335,3
337,1,335,3
338,2,335,3
339,2,335,3
340,1,335,3
341,1,335,3
342,3,342,1
343,2,342,1
344,2,342,1
345,3,307,0
346,1,335,3
347,1,347,3
348,1,348,0
349,3,43,0
350,1,139,0
351,1,351,2
352,1,161,0
353,1,197,2
354,1,197,2
355,1,197,2
356,1,197,2
357,1,197,2
358,2,216,2
359,2,216,2
360,3,82,0
361,3,82,0
362,3,82,0
363,3,221,1
364,1,79,4
365,1,79,4
366,1,79,4
367,1,79,4
368,1,79,4
369,1,79,4
370,1,79,4
371,1,223,2
372,1,100,4
373,1,100,4
374,1,100,4
375,1,100,4
376,1,100,4
377,1,100,4
378,1,100,4
379,1,100,4
380,1,100,4
381,1,97,4
382,1,97,4
383,1,97,4
384,1,97,4
385,1,97,4
386,1,97,4
387,1,94,2
388,1,94,2
389,1,103,1
390,1,103,1
391,1,103,1
392,1,103,1
393,1,103,1
394,1,103,1
395,1,103,1
396,1,103,1
397,1,103,1
398,1,103,1
399,1,103,1
400,1,103,1
401,1,103,1
402,1,103,1
403,1,103,1
404,1,106,1
405,1,106,1
406,1,106,1
407,1,407,3
408,1,407,3
409,3,407,3
410,3,407,3
411,3,407,3
412,1,412,1
413,1,412,1
414,1,412,1
415,1,412,1
416,1,412,1
417,1,252,4
418,1,252,4
419,1,252,4
420,1,252,4
421,1,252,4
422,1,252,4
423,3,423,3
424,1,42,3
425,1,42,3
426,1,42,3
427,1,42,3
428,1,42,3
429,1,42,3
430,1,42,3
431,1,42,3
432,1,348,0
433,1,348,0
434,1,348,0
435,1,348,0
436,1,348,0
437,1,132,0
438,1,132,0
439,1,132,0
440,1,132,0
441,1,132,0
442,2,335,3
443,2,335,3
444,2,335,3
445,2,335,3
446,2,274,4
447,2,274,4
448,2,274,4
449,2,274,4
450,2,305,0
