parcel_id,vector_class,spatial_group_30m,spatial_cv_fold
0,1,0,1
1,1,1,0
2,1,2,3
3,1,49,1
4,1,112,1
5,1,5,1
6,1,6,0
7,1,7,0
8,1,14,3
9,1,9,2
10,1,63,0
11,1,11,1
12,1,72,2
13,1,72,2
14,1,14,3
15,1,63,0
16,1,112,1
17,1,26,3
18,1,11,1
19,1,132,2
20,1,72,2
21,1,35,4
22,1,132,2
23,1,28,1
24,1,24,0
25,1,6,0
26,1,26,3
27,1,0,1
28,1,28,1
29,1,51,2
30,1,104,0
31,1,104,0
32,1,63,0
33,1,110,1
34,1,49,1
35,1,35,4
36,1,132,2
37,1,104,0
38,1,0,1
39,1,113,2
40,1,63,0
41,1,63,0
42,1,112,1
43,1,5,1
44,1,51,2
45,1,192,3
46,1,104,0
47,1,1,0
48,1,6,0
49,1,49,1
50,1,2,3
51,1,51,2
52,1,0,1
53,1,104,0
54,1,88,0
55,1,63,0
56,1,132,2
57,1,63,0
58,1,35,4
59,1,112,1
60,1,28,1
61,1,28,1
62,1,51,2
63,1,63,0
64,1,64,4
65,1,6,0
66,1,112,1
67,1,51,2
68,1,192,3
69,1,107,3
70,1,14,3
71,1,63,0
72,1,72,2
73,1,24,0
74,1,0,1
75,1,26,3
76,1,112,1
77,1,72,2
78,1,104,0
79,1,72,2
80,1,132,2
81,1,51,2
82,1,132,2
83,1,104,0
84,1,113,2
85,1,14,3
86,1,63,0
87,1,35,4
88,1,88,0
89,1,104,0
90,1,132,2
91,1,186,4
92,1,92,1
93,1,28,1
94,1,88,0
95,1,35,4
96,1,63,0
97,1,97,0
98,1,72,2
99,1,99,4
100,1,186,4
101,1,14,3
102,1,88,0
103,1,132,2
104,1,104,0
105,1,51,2
106,1,132,2
107,1,107,3
108,1,11,1
109,1,72,2
110,1,110,1
111,1,111,1
112,1,112,1
113,1,113,2
114,1,114,4
115,1,111,1
116,1,63,0
117,1,113,2
118,1,26,3
119,1,119,2
120,1,63,0
121,1,88,0
122,1,132,2
123,1,11,1
124,1,124,4
125,1,112,1
126,1,63,0
127,1,51,2
128,1,6,0
129,1,112,1
130,1,72,2
131,1,64,4
132,1,132,2
133,1,49,1
134,1,132,2
135,1,63,0
136,1,26,3
137,1,112,1
138,1,14,3
139,1,97,0
140,1,26,3
141,1,186,4
142,1,6,0
143,1,110,1
144,1,14,3
145,1,112,1
146,1,88,0
147,1,49,1
148,1,63,0
149,1,14,3
150,1,14,3
151,1,51,2
152,1,192,3
153,1,51,2
154,1,49,1
155,1,63,0
156,1,104,0
157,1,119,2
158,1,158,2
159,1,110,1
160,1,88,0
161,1,104,0
162,1,35,4
163,1,63,0
164,1,5,1
165,1,28,1
166,1,0,1
167,1,113,2
168,1,51,2
169,1,192,3
170,1,11,1
171,1,26,3
172,1,112,1
173,1,51,2
174,1,26,3
175,1,104,0
176,1,11,1
177,1,26,3
178,1,6,0
179,1,0,1
180,1,110,1
181,1,63,0
182,1,104,0
183,1,158,2
184,1,114,4
185,1,14,3
186,1,186,4
187,1,14,3
188,1,5,1
189,1,14,3
190,1,63,0
191,1,51,2
192,1,192,3
193,1,24,0
194,1,11,1
195,1,186,4
196,1,72,2
197,1,64,4
198,1,64,4
199,1,104,0
200,1,0,1
201,1,51,2
202,1,35,4
203,1,35,4
204,1,14,3
205,1,0,1
206,1,26,3
207,1,51,2
208,1,2,3
209,1,63,0
210,1,132,2
211,1,132,2
212,1,186,4
213,1,9,2
214,1,104,0
215,1,192,3
216,1,110,1
217,1,104,0
218,1,132,2
219,1,6,0
220,1,63,0
221,1,221,4
222,1,158,2
223,1,63,0
224,1,107,3
225,1,192,3
226,1,63,0
227,1,72,2
228,1,221,4
229,1,28,1
230,1,63,0
231,1,104,0
232,1,104,0
233,1,186,4
234,1,234,2
235,1,72,2
236,1,49,1
237,1,104,0
238,1,14,3
239,1,14,3
240,1,192,3
241,1,110,1
242,1,186,4
243,1,14,3
244,1,51,2
245,1,192,3
246,1,14,3
247,2,308,1
248,2,248,1
249,2,259,0
250,2,280,1
251,2,251,2
252,2,263,4
253,2,253,3
254,2,318,3
255,2,263,4
256,2,256,3
257,2,263,4
258,2,258,4
259,2,259,0
260,2,327,4
261,2,261,1
262,2,262,2
263,2,263,4
264,2,264,3
265,2,341,2
266,2,263,4
267,2,267,1
268,2,341,2
269,2,263,4
270,2,270,0
271,2,308,1
272,2,259,0
273,2,498,2
274,2,263,4
275,2,275,0
276,2,423,2
277,2,262,2
278,2,278,3
279,2,327,4
280,2,280,1
281,2,327,4
282,2,263,4
283,2,341,2
284,2,284,4
285,2,341,2
286,2,341,2
287,2,341,2
288,2,263,4
289,2,280,1
290,2,290,0
291,2,498,2
292,2,263,4
293,2,290,0
294,2,294,4
295,2,290,0
296,2,264,3
297,2,259,0
298,2,263,4
299,2,299,4
300,2,259,0
301,2,263,4
302,2,302,3
303,2,498,2
304,2,304,3
305,2,341,2
306,2,290,0
307,2,327,4
308,2,308,1
309,2,309,2
310,2,310,4
311,2,327,4
312,2,312,2
313,2,263,4
314,2,275,0
315,2,315,0
316,2,312,2
317,2,440,3
318,2,318,3
319,2,290,0
320,2,414,4
321,2,321,1
322,2,322,2
323,2,263,4
324,2,278,3
325,2,280,1
326,2,327,4
327,2,327,4
328,2,328,2
329,2,308,1
330,2,330,0
331,2,263,4
332,2,341,2
333,2,309,2
334,2,334,4
335,2,261,1
336,2,263,4
337,2,280,1
338,2,338,0
339,2,341,2
340,2,290,0
341,2,341,2
342,2,342,1
343,2,341,2
344,2,327,4
345,2,267,1
346,2,341,2
347,2,258,4
348,2,328,2
349,2,302,3
350,2,414,4
351,2,263,4
352,2,278,3
353,2,341,2
354,2,318,3
355,2,423,2
356,2,498,2
357,2,264,3
358,2,440,3
359,2,359,3
360,2,334,4
361,2,419,1
362,2,308,1
363,2,322,2
364,2,341,2
365,2,341,2
366,2,338,0
367,2,290,0
368,2,440,3
369,2,423,2
370,2,327,4
371,2,371,4
372,2,341,2
373,2,498,2
374,2,259,0
375,2,263,4
376,2,341,2
377,2,278,3
378,2,371,4
379,2,253,3
380,2,334,4
381,2,263,4
382,2,382,2
383,2,327,4
384,2,278,3
385,2,263,4
386,2,386,1
387,2,308,1
388,2,388,4
389,2,498,2
390,2,327,4
391,2,308,1
392,2,341,2
393,2,393,0
394,2,264,3
395,2,263,4
396,2,341,2
397,2,414,4
398,2,256,3
399,2,263,4
400,2,251,2
401,2,308,1
402,2,402,3
403,2,341,2
404,2,248,1
405,2,278,3
406,2,262,2
407,2,308,1
408,2,327,4
409,2,341,2
410,2,302,3
411,2,248,1
412,2,341,2
413,2,327,4
414,2,414,4
415,2,341,2
416,2,498,2
417,2,417,2
418,2,341,2
419,2,419,1
420,2,278,3
421,2,264,3
422,2,341,2
423,2,423,2
424,2,414,4
425,2,341,2
426,2,263,4
427,2,302,3
428,2,290,0
429,2,341,2
430,2,308,1
431,2,498,2
432,2,386,1
433,2,280,1
434,2,419,1
435,2,341,2
436,2,436,2
437,2,302,3
438,2,334,4
439,2,327,4
440,2,440,3
441,2,371,4
442,2,263,4
443,2,443,4
444,2,341,2
445,2,445,2
446,2,263,4
447,2,263,4
448,2,327,4
449,2,330,0
450,2,440,3
451,2,419,1
452,2,341,2
453,2,280,1
454,2,280,1
455,2,341,2
456,2,498,2
457,2,327,4
458,2,290,0
459,2,327,4
460,2,414,4
461,2,498,2
462,2,278,3
463,2,248,1
464,2,327,4
465,2,436,2
466,2,466,0
467,2,263,4
468,2,327,4
469,2,327,4
470,2,318,3
471,2,275,0
472,2,472,0
473,2,334,4
474,2,318,3
475,2,290,0
476,2,263,4
477,2,498,2
478,2,261,1
479,2,264,3
480,2,436,2
481,2,481,3
482,2,264,3
483,2,280,1
484,2,308,1
485,2,414,4
486,2,498,2
487,2,327,4
488,2,278,3
489,2,328,2
490,2,498,2
491,2,386,1
492,2,263,4
493,2,280,1
494,2,318,3
495,2,498,2
496,2,341,2
497,2,497,1
498,2,498,2
499,2,341,2
500,2,341,2
501,2,327,4
502,2,327,4
503,3,517,0
504,3,504,0
505,3,505,4
506,3,506,1
507,3,507,1
508,3,508,3
509,3,509,1
510,3,677,2
511,3,511,2
512,3,989,1
513,3,513,0
514,3,514,1
515,3,515,0
516,3,516,1
517,3,517,0
518,3,562,1
519,3,519,3
520,3,520,3
521,3,521,4
522,3,522,2
523,3,523,4
524,3,524,3
525,3,511,2
526,3,526,0
527,3,527,0
528,3,528,0
529,3,529,1
530,3,530,3
531,3,509,1
532,3,562,1
533,3,533,1
534,3,327,4
535,3,535,4
536,3,543,4
537,3,537,4
538,3,538,1
539,3,539,2
540,3,540,2
541,3,541,1
542,3,542,3
543,3,543,4
544,3,544,0
545,3,545,2
546,3,546,0
547,3,519,3
548,3,513,0
549,3,549,1
550,3,515,0
551,3,551,3
552,3,552,2
553,3,989,1
554,3,549,1
555,3,551,3
556,3,504,0
557,3,520,3
558,3,558,0
559,3,559,2
560,3,539,2
561,3,561,4
562,3,562,1
563,3,523,4
564,3,564,0
565,3,517,0
566,3,566,2
567,3,567,4
568,3,568,1
569,3,569,3
570,3,562,1
571,3,571,2
572,3,572,2
573,3,562,1
574,3,574,3
575,3,575,0
576,3,562,1
577,3,577,4
578,3,562,1
579,3,579,3
580,3,580,4
581,3,574,3
582,3,582,1
583,3,574,3
584,3,584,1
585,3,585,3
586,3,543,4
587,3,587,3
588,3,588,1
589,3,589,4
590,3,590,0
591,3,591,0
592,3,520,3
593,3,989,1
594,3,594,2
595,3,595,2
596,3,596,4
597,3,597,1
598,3,574,3
599,3,599,3
600,3,600,0
601,3,601,2
602,3,540,2
603,3,562,1
604,3,604,4
605,3,605,1
606,3,606,3
607,3,607,1
608,3,562,1
609,3,609,0
610,3,562,1
611,3,611,2
612,3,612,0
613,3,562,1
614,3,614,3
615,3,615,1
616,3,549,1
617,3,537,4
618,3,618,2
619,3,619,1
620,3,620,4
621,3,621,2
622,3,622,1
623,3,623,4
624,3,707,0
625,3,625,4
626,3,626,1
627,3,627,1
628,3,628,4
629,3,629,3
630,3,630,1
631,3,514,1
632,3,615,1
633,3,562,1
634,3,517,0
635,3,522,2
636,3,636,0
637,3,637,0
638,3,638,3
639,3,639,2
640,3,640,3
641,3,641,3
642,3,642,2
643,3,643,1
644,3,644,4
645,3,645,0
646,3,646,2
647,3,647,1
648,3,648,4
649,3,649,0
650,3,650,2
651,3,517,0
652,3,652,3
653,3,653,4
654,3,654,3
655,3,655,2
656,3,511,2
657,3,562,1
658,3,658,3
659,3,677,2
660,3,660,0
661,3,646,2
662,3,662,2
663,3,327,4
664,3,664,2
665,3,517,0
666,3,522,2
667,3,667,0
668,3,523,4
669,3,647,1
670,3,562,1
671,3,671,4
672,3,511,2
673,3,673,4
674,3,520,3
675,3,675,1
676,3,559,2
677,3,677,2
678,3,513,0
679,3,679,3
680,3,508,3
681,3,681,2
682,3,540,2
683,3,683,1
684,3,684,4
685,3,607,1
686,3,605,1
687,3,687,0
688,3,688,1
689,3,689,2
690,3,591,0
691,3,522,2
692,3,618,2
693,3,504,0
694,3,694,4
695,3,562,1
696,3,696,3
697,3,697,0
698,3,523,4
699,3,699,4
700,3,700,0
701,3,660,0
702,3,562,1
703,3,703,1
704,3,704,3
705,3,562,1
706,3,505,4
707,3,707,0
708,3,530,3
709,3,679,3
710,3,710,0
711,3,511,2
712,3,712,1
713,3,600,0
714,3,511,2
715,1,51,2
716,1,49,1
717,1,5,1
718,1,132,2
719,1,63,0
720,1,0,1
721,1,51,2
722,1,72,2
723,1,49,1
724,1,11,1
725,1,104,0
726,1,11,1
727,1,110,1
728,1,51,2
729,1,5,1
730,1,49,1
731,1,63,0
732,1,51,2
733,1,5,1
734,1,124,4
735,1,113,2
736,1,107,3
737,1,104,0
738,1,72,2
739,1,14,3
740,1,104,0
741,1,104,0
742,1,49,1
743,1,49,1
744,1,124,4
745,1,6,0
746,1,110,1
747,1,64,4
748,1,104,0
749,1,51,2
750,1,7,0
751,1,28,1
752,1,99,4
753,1,113,2
754,1,107,3
755,1,104,0
756,1,14,3
757,1,14,3
758,1,110,1
759,1,7,0
760,1,51,2
761,1,11,1
762,1,0,1
763,1,104,0
764,1,0,1
765,1,104,0
766,1,132,2
767,1,767,0
768,1,24,0
769,1,11,1
770,1,11,1
771,1,63,0
772,1,51,2
773,1,158,2
774,1,63,0
775,1,0,1
776,1,51,2
777,1,63,0
778,1,51,2
779,1,72,2
780,1,132,2
781,1,51,2
782,1,104,0
783,1,72,2
784,1,124,4
785,1,113,2
786,1,14,3
787,1,51,2
788,1,132,2
789,1,63,0
790,1,132,2
791,1,14,3
792,1,112,1
793,1,72,2
794,1,104,0
795,1,112,1
796,1,796,1
797,1,104,0
798,1,63,0
799,1,6,0
800,1,63,0
801,1,6,0
802,1,72,2
803,1,110,1
804,1,51,2
805,1,51,2
806,1,113,2
807,1,221,4
808,1,104,0
809,1,192,3
810,1,104,0
811,1,11,1
812,1,63,0
813,1,2,3
814,1,11,1
815,1,6,0
816,1,63,0
817,1,72,2
818,1,63,0
819,1,49,1
820,1,99,4
821,2,302,3
822,2,290,0
823,2,261,1
824,2,423,2
825,2,327,4
826,2,498,2
827,2,827,0
828,2,248,1
829,2,264,3
830,2,248,1
831,2,278,3
832,2,278,3
833,2,341,2
834,2,261,1
835,2,440,3
836,2,263,4
837,2,341,2
838,2,264,3
839,2,341,2
840,2,248,1
841,2,423,2
842,2,308,1
843,2,419,1
844,2,844,2
845,2,341,2
846,2,846,3
847,2,341,2
848,2,264,3
849,2,423,2
850,2,341,2
851,2,341,2
852,2,498,2
853,2,419,1
854,2,359,3
855,2,440,3
856,2,248,1
857,2,857,4
858,2,327,4
859,2,423,2
860,2,258,4
861,2,248,1
862,2,290,0
863,2,341,2
864,2,498,2
865,2,308,1
866,2,263,4
867,2,302,3
