epoch,report,confusion_matrix,accuracy,balanced_accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,ECE,Brier,NLL,Entropy,Epistemic,Aleatoric,train_loss,train_ce_loss,train_parcel_loss,test_loss,learning_rate,time
0,"              precision    recall  f1-score   support

     class 0   0.985222  0.916031  0.949367       655
     class 1   0.851064  0.879121  0.864865       182
     class 2   0.466667  0.700000  0.560000        80

    accuracy                       0.889858       917
   macro avg   0.767651  0.831717  0.791411       917
weighted avg   0.913356  0.889858  0.898627       917
","[[600  10  45]
 [  3 160  19]
 [  6  18  56]]",0.8898582333696837,0.831717137824008,0.7673979978803449,0.8898582333696837,0.7914106511574867,0.8986268794366195,0.8898582333696837,0.831717137824008,0.8898582333696837,0.8898582333696837,0.767650723776916,0.9133556678287295,0.3174204909526532,0.33451998534039734,0.6323724042940737,0.9456619563201706,0.0,0.9456619563201706,0.6735034603625536,0.6735034603625536,0.0,0.6092136,0.00011999999999999999,0.014384071032206217
1,"              precision    recall  f1-score   support

     class 0   0.985318  0.922137  0.952681       655
     class 1   0.980132  0.813187  0.888889       182
     class 2   0.477124  0.912500  0.626609        80

    accuracy                       0.899673       917
   macro avg   0.814192  0.882608  0.822727       917
weighted avg   0.939954  0.899673  0.911573       917
","[[604   1  50]
 [  4 148  30]
 [  5   2  73]]",0.8996728462377317,0.8826080725889885,0.7889063485232152,0.8996728462377317,0.8227265729871975,0.9115734376127039,0.8996728462377317,0.8826080725889885,0.8996728462377317,0.8996728462377317,0.8141915803349574,0.939953545390197,0.13793505272303053,0.19818939874300906,0.40530381677570715,0.6488889526525635,0.0,0.6488889526525635,0.498820373788476,0.498820373788476,0.0,0.528234,0.00017999999999999998,0.02752495606740316
2,"              precision    recall  f1-score   support

     class 0   0.987055  0.931298  0.958366       655
     class 1   0.986395  0.796703  0.881459       182
     class 2   0.500000  0.950000  0.655172        80

    accuracy                       0.906216       917
   macro avg   0.824483  0.892667  0.831666       917
weighted avg   0.944433  0.906216  0.916651       917
","[[610   1  44]
 [  5 145  32]
 [  3   1  76]]",0.906215921483097,0.8926670022089868,0.8014476881050392,0.906215921483097,0.8316658149244072,0.9166511419956543,0.906215921483097,0.8926670022089868,0.906215921483097,0.906215921483097,0.8244831913347864,0.9444327645828954,0.07394499112772632,0.17183409771998312,0.35084323571006765,0.4810037669918959,0.0,0.4810037669918959,0.40532835526391864,0.40532835526391864,0.0,0.69513106,0.00023999999999999998,0.039829480648040774
3,"              precision    recall  f1-score   support

     class 0   0.988599  0.926718  0.956659       655
     class 1   0.986486  0.802198  0.884848       182
     class 2   0.490323  0.950000  0.646809        80

    accuracy                       0.904035       917
   macro avg   0.821803  0.892972  0.829439       917
weighted avg   0.944710  0.904035  0.915375       917
","[[607   1  47]
 [  4 146  32]
 [  3   1  76]]",0.9040348964013086,0.8929717864832369,0.7979483353072113,0.9040348964013086,0.8294385939776011,0.9153747112493253,0.9040348964013086,0.8929717864832369,0.9040348964013086,0.9040348964013086,0.8218028052219499,0.9447098367307042,0.06088354487893702,0.17560881053212554,0.3599776679836987,0.44927849426236277,0.0,0.44927849426236277,0.3633879581466317,0.3633879581466317,0.0,0.77523446,0.0003,0.052557535966237384
4,"              precision    recall  f1-score   support

     class 0   0.976038  0.932824  0.953942       655
     class 1   0.986395  0.796703  0.881459       182
     class 2   0.513889  0.925000  0.660714        80

    accuracy                       0.905125       917
   macro avg   0.825441  0.884843  0.832038       917
weighted avg   0.937775  0.905125  0.913975       917
","[[611   1  43]
 [ 10 145  27]
 [  5   1  74]]",0.9051254089422028,0.8848425747280709,0.7967854095291466,0.9051254089422028,0.8320384949701308,0.9139747406163385,0.9051254089422028,0.8848425747280709,0.9051254089422028,0.9051254089422028,0.8254405951233883,0.9377753898102583,0.046204152646812505,0.15790450536677178,0.3325579043584727,0.39745704893662287,0.0,0.39745704893662287,0.3403269925620407,0.3403269925620407,0.0,0.81751376,0.0003,0.06506720781326295
5,"              precision    recall  f1-score   support

     class 0   0.973016  0.935878  0.954086       655
     class 1   0.986301  0.791209  0.878049       182
     class 2   0.517730  0.912500  0.660633        80

    accuracy                       0.905125       917
   macro avg   0.825683  0.879862  0.830923       917
weighted avg   0.935933  0.905125  0.913393       917
","[[613   1  41]
 [ 11 144  27]
 [  6   1  73]]",0.9051254089422028,0.8798622179347371,0.795641248299764,0.9051254089422028,0.8309226225878471,0.9133932680705811,0.9051254089422028,0.8798622179347371,0.9051254089422028,0.9051254089422028,0.8256825797775958,0.9359331361578815,0.04659713754567166,0.14955409510244036,0.3176793484176107,0.391977269591791,0.0,0.391977269591791,0.3213832094334066,0.3213832094334066,0.0,0.78551716,0.0002996528771620249,0.07714892625808716
6,"              precision    recall  f1-score   support

     class 0   0.966929  0.937405  0.951938       655
     class 1   0.986301  0.791209  0.878049       182
     class 2   0.536765  0.912500  0.675926        80

    accuracy                       0.906216       917
   macro avg   0.829998  0.880371  0.835304       917
weighted avg   0.933246  0.906216  0.913193       917
","[[614   1  40]
 [ 15 144  23]
 [  6   1  73]]",0.906215921483097,0.8803711237871544,0.7964914634901629,0.906215921483097,0.835304230303285,0.9131933827348047,0.906215921483097,0.8803711237871544,0.906215921483097,0.906215921483097,0.8299984032012114,0.9332460288580394,0.046804150732992884,0.145953911358048,0.31137469102974547,0.39268590955263094,0.0,0.39268590955263094,0.30832520709373057,0.30832520709373057,0.0,0.75085014,0.00029861319979567375,0.08948214451471964
7,"              precision    recall  f1-score   support

     class 0   0.966981  0.938931  0.952750       655
     class 1   0.993103  0.791209  0.880734       182
     class 2   0.536765  0.912500  0.675926        80

    accuracy                       0.907306       917
   macro avg   0.832283  0.880880  0.836470       917
weighted avg   0.934633  0.907306  0.914306       917
","[[615   0  40]
 [ 15 144  23]
 [  6   1  73]]",0.9073064340239912,0.8808800296395716,0.7986120261782405,0.9073064340239912,0.8364698924105732,0.9143061888942925,0.9073064340239912,0.8808800296395716,0.9073064340239912,0.9073064340239912,0.8322830954112289,0.9346332012717875,0.04317864899169634,0.15294599929256983,0.3252892047176398,0.39733486467687407,0.0,0.39733486467687407,0.2967518214136362,0.2967518214136362,0.0,0.75371706,0.00029688603310456727,0.10193225542704264
8,"              precision    recall  f1-score   support

     class 0   0.965679  0.945038  0.955247       655
     class 1   1.000000  0.791209  0.883436       182
     class 2   0.560606  0.925000  0.698113        80

    accuracy                       0.912759       917
   macro avg   0.842095  0.887082  0.845599       917
weighted avg   0.937152  0.912759  0.918562       917
","[[619   0  36]
 [ 16 144  22]
 [  6   0  74]]",0.9127589967284624,0.8870823197159075,0.8090905778809471,0.9127589967284624,0.8455985679831676,0.9185616805588386,0.9127589967284624,0.8870823197159075,0.9127589967284624,0.9127589967284624,0.8420948959170488,0.9371515655709008,0.04681856032623931,0.14265048454553284,0.30535339048878485,0.36412009225120645,0.0,0.36412009225120645,0.2914486238732934,0.2914486238732934,0.0,0.7619506,0.0002944797916712104,0.11554006338119507
9,"              precision    recall  f1-score   support

     class 0   0.965571  0.941985  0.953632       655
     class 1   0.993103  0.791209  0.880734       182
     class 2   0.548872  0.912500  0.685446        80

    accuracy                       0.909487       917
   macro avg   0.835849  0.881898  0.839937       917
weighted avg   0.934682  0.909487  0.915767       917
","[[617   0  38]
 [ 16 144  22]
 [  6   1  73]]",0.9094874591057798,0.8818978413444062,0.8024701931411784,0.9094874591057798,0.8399373675736417,0.9157669748307985,0.9094874591057798,0.8818978413444062,0.9094874591057798,0.9094874591057798,0.8358489445782715,0.9346823787376468,0.043185958295840154,0.14553493782210702,0.312062214735958,0.37161880184660967,0.0,0.37161880184660967,0.2857188223861158,0.2857188223861158,0.0,0.7608393,0.0002914061984619919,0.12839899063110352
