d0,mean_brier,se_brier,n,target_fold
0.5,0.18077543270851945,0.019050580848302766,365,0
0.75,0.1798549539816395,0.019368634804062087,365,0
1.0,0.17905552069462924,0.019541725045478395,365,0
1.5,0.1779442363690045,0.019664510856003917,365,0
2.0,0.17757315315695188,0.019705737508296045,365,0
3.0,0.17740413009446554,0.019722643427469835,365,0
4.0,0.1773934753977491,0.019723760066175457,365,0
5.0,0.1773931488464027,0.01972379741518913,365,0
6.0,0.17739322953941922,0.0197237955625179,365,0
8.0,0.17739322953941922,0.0197237955625179,365,0
10.0,0.17739322953941922,0.0197237955625179,365,0
12.0,0.17739322953941922,0.0197237955625179,365,0
0.5,0.19206594856694448,0.0195077989363283,364,1
0.75,0.19083040366510123,0.01980134536420274,364,1
1.0,0.18957381291620326,0.01994704679603138,364,1
1.5,0.18812991992864014,0.02006049519287141,364,1
2.0,0.18758142053936042,0.02009956256514525,364,1
3.0,0.187292225852069,0.020115908210434838,364,1
4.0,0.18725405234792525,0.02011651637225201,364,1
5.0,0.18725269248215465,0.020116584852091723,364,1
6.0,0.18725265400736427,0.02011658559747572,364,1
8.0,0.18725265400736427,0.02011658559747572,364,1
10.0,0.18725265400736427,0.02011658559747572,364,1
12.0,0.18725265400736427,0.02011658559747572,364,1
0.5,0.17436070357384237,0.01790787489561163,384,2
0.75,0.17329577064528223,0.01815086208504928,384,2
1.0,0.17214811683328066,0.018274787144784917,384,2
1.5,0.170767501866859,0.018374754091935883,384,2
2.0,0.17024014032950752,0.018405610386134683,384,2
3.0,0.1699692827043188,0.01841590486698387,384,2
4.0,0.16992665824646128,0.018416188614602112,384,2
5.0,0.16992489033376632,0.018416250195703317,384,2
6.0,0.16992485386287126,0.018416250837601657,384,2
8.0,0.16992485386287126,0.018416250837601657,384,2
10.0,0.16992485386287126,0.018416250837601657,384,2
12.0,0.16992485386287126,0.018416250837601657,384,2
0.5,0.15405936372423007,0.01679022517483721,365,3
0.75,0.15225374163921385,0.016982598002032875,365,3
1.0,0.15102772281360172,0.0170962566865729,365,3
1.5,0.14959200573000914,0.017168114396247155,365,3
2.0,0.1490055026852768,0.01718338123613705,365,3
3.0,0.14874244290974412,0.017194534370660507,365,3
4.0,0.14869148153656173,0.017194126685439237,365,3
5.0,0.14868905886744932,0.01719415582761015,365,3
6.0,0.14868893980505282,0.0171941582136448,365,3
8.0,0.14868893980505282,0.0171941582136448,365,3
10.0,0.14868893980505282,0.0171941582136448,365,3
12.0,0.14868893980505282,0.0171941582136448,365,3
0.5,0.18167335413993788,0.01921578043678531,342,4
0.75,0.18052702078760088,0.019537794861969507,342,4
1.0,0.1793578168712669,0.019707877471614354,342,4
1.5,0.17767929758103151,0.019823930859408166,342,4
2.0,0.1770535072401478,0.019865141758831126,342,4
3.0,0.17675476995884223,0.019881205510053127,342,4
4.0,0.17670587745073238,0.019881844913083348,342,4
5.0,0.17670375529178228,0.019881922160448467,342,4
6.0,0.17670371434200538,0.0198819229512157,342,4
8.0,0.17670371434200538,0.0198819229512157,342,4
10.0,0.17670371434200538,0.019881922951215703,342,4
12.0,0.17670371434200538,0.0198819229512157,342,4
