epoch,report,confusion_matrix,accuracy,balanced_accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,ECE,Brier,NLL,Entropy,Epistemic,Aleatoric,train_loss,train_ce_loss,train_parcel_loss,test_loss,learning_rate,time
0,"              precision    recall  f1-score   support

     class 0   0.864723  0.841455  0.852930      1375
     class 1   0.613971  0.658777  0.635585       507
     class 2   0.543210  0.543210  0.543210       324

    accuracy                       0.755666      2206
   macro avg   0.673968  0.681147  0.677242      2206
weighted avg   0.759872  0.755666  0.757489      2206
","[[1157  148   70]
 [  95  334   78]
 [  86   62  176]]",0.7556663644605621,0.6811471807711124,0.5506129856661358,0.7556663644605621,0.6772417896528639,0.757489068812752,0.7556663644605621,0.6811471807711124,0.7556663644605621,0.7556663644605621,0.6739679775469951,0.7598721017888513,0.24532974487884346,0.4618489215009508,0.8062208139308666,0.9942294853295085,0.0,0.9942294853295085,0.8113865145615169,0.8113865145615169,0.0,0.8717126,0.00011999999999999999,0.014351856708526612
1,"              precision    recall  f1-score   support

     class 0   0.889055  0.862545  0.875600      1375
     class 1   0.705426  0.717949  0.711632       507
     class 2   0.629213  0.691358  0.658824       324

    accuracy                       0.804170      2206
   macro avg   0.741232  0.757284  0.748685      2206
weighted avg   0.808689  0.804170  0.806077      2206
","[[1186  101   88]
 [  99  364   44]
 [  49   51  224]]",0.8041704442429737,0.7572840657285101,0.6410887192446605,0.8041704442429737,0.7486852784412469,0.8060771869725335,0.8041704442429737,0.7572840657285101,0.8041704442429737,0.8041704442429737,0.7412317706663609,0.8086888511753592,0.06935766345101337,0.29870356161605627,0.5676809650226484,0.6642531749272381,0.0,0.6642531749272381,0.5606301550354277,0.5606301550354277,0.0,0.6760514,0.00017999999999999998,0.025940672556559245
2,"              precision    recall  f1-score   support

     class 0   0.902736  0.864000  0.882943      1375
     class 1   0.739044  0.731755  0.735382       507
     class 2   0.639175  0.765432  0.696629       324

    accuracy                       0.819130      2206
   macro avg   0.760318  0.787063  0.771651      2206
weighted avg   0.826405  0.819130  0.821665      2206
","[[1188   80  107]
 [ 103  371   33]
 [  25   51  248]]",0.8191296464188577,0.787062507609516,0.671165722099144,0.8191296464188577,0.7716513077342312,0.821665068824017,0.8191296464188577,0.787062507609516,0.8191296464188577,0.8191296464188577,0.7603182149143949,0.8264049867656176,0.0369196273616554,0.27276544149213106,0.5282045343720645,0.4955213255101356,0.0,0.4955213255101356,0.43375920185020994,0.43375920185020994,0.0,0.6220947,0.00023999999999999998,0.03710012038548787
3,"              precision    recall  f1-score   support

     class 0   0.905989  0.869091  0.887157      1375
     class 1   0.748996  0.735700  0.742289       507
     class 2   0.678663  0.814815  0.740533       324

    accuracy                       0.830462      2206
   macro avg   0.777883  0.806535  0.789993      2206
weighted avg   0.836520  0.830462  0.832327      2206
","[[1195   85   95]
 [ 104  373   30]
 [  20   40  264]]",0.8304623753399819,0.8065353070481276,0.69149033630995,0.8304623753399819,0.78999272031189,0.8323270006221218,0.8304623753399819,0.8065353070481276,0.8304623753399819,0.8304623753399819,0.7778828696362337,0.8365200629763766,0.03110331715892322,0.2567728889155814,0.49410640035232867,0.41166683621864736,0.0,0.41166683621864736,0.378755250786032,0.378755250786032,0.0,0.5529897,0.0003,0.04824811617533366
4,"              precision    recall  f1-score   support

     class 0   0.902788  0.871273  0.886751      1375
     class 1   0.727799  0.743590  0.735610       507
     class 2   0.711911  0.793210  0.750365       324

    accuracy                       0.830462      2206
   macro avg   0.780833  0.802691  0.790908      2206
weighted avg   0.834536  0.830462  0.831983      2206
","[[1198   95   82]
 [ 108  377   22]
 [  21   46  257]]",0.8304623753399819,0.8026907824685603,0.6900918443660388,0.8304623753399819,0.7909084249151827,0.8319829591296963,0.8304623753399819,0.8026907824685603,0.8304623753399819,0.8304623753399819,0.7808329430999024,0.8345364116012105,0.04292458047682115,0.2543808821842549,0.4845126899204663,0.3584090655514978,0.0,0.3584090655514978,0.3329147438917841,0.3329147438917841,0.0,0.52505994,0.0003,0.06145429213841756
5,"              precision    recall  f1-score   support

     class 0   0.901901  0.862545  0.881784      1375
     class 1   0.753564  0.729783  0.741483       507
     class 2   0.677500  0.836420  0.748619       324

    accuracy                       0.828196      2206
   macro avg   0.777655  0.809583  0.790629      2206
weighted avg   0.834851  0.828196  0.829981      2206
","[[1186   84  105]
 [ 113  370   24]
 [  16   37  271]]",0.828195829555757,0.8095827483690732,0.688005779591861,0.828195829555757,0.7906287123597836,0.829980907304539,0.828195829555757,0.8095827483690732,0.828195829555757,0.828195829555757,0.7776550984901872,0.8348509043144346,0.056275630970329324,0.25865846194414827,0.4912416590494657,0.33460306908528875,0.0,0.33460306908528875,0.307808222089495,0.307808222089495,0.0,0.52523977,0.0002996528771620249,0.07425614198048909
6,"              precision    recall  f1-score   support

     class 0   0.900672  0.877091  0.888725      1375
     class 1   0.742574  0.739645  0.741107       507
     class 2   0.729282  0.814815  0.769679       324

    accuracy                       0.836355      2206
   macro avg   0.790843  0.810517  0.799837      2206
weighted avg   0.839164  0.836355  0.837314      2206
","[[1206   89   80]
 [ 114  375   18]
 [  19   41  264]]",0.8363553943789664,0.8105168981066417,0.6997098026084583,0.8363553943789664,0.7998370495400259,0.8373138043223595,0.8363553943789664,0.8105168981066417,0.8363553943789664,0.8363553943789664,0.7908427229240446,0.8391643873502233,0.06409924448270254,0.25155048653665146,0.47568125149088925,0.2936421347875288,0.0,0.2936421347875288,0.2841738111206463,0.2841738111206463,0.0,0.44176334,0.00029861319979567375,0.08548065821329752
7,"              precision    recall  f1-score   support

     class 0   0.901578  0.872727  0.886918      1375
     class 1   0.703297  0.757396  0.729345       507
     class 2   0.768997  0.780864  0.774885       324

    accuracy                       0.832729      2206
   macro avg   0.791290  0.803663  0.797049      2206
weighted avg   0.836535  0.832729  0.834249      2206
","[[1200  110   65]
 [ 112  384   11]
 [  19   52  253]]",0.8327289211242067,0.8036626399874263,0.6931598824377765,0.8327289211242067,0.7970492783052702,0.8342487579492398,0.8327289211242067,0.8036626399874263,0.8327289211242067,0.8327289211242067,0.7912904749549728,0.8365348437246602,0.07769188397814886,0.25875821817653344,0.4894166842234014,0.26402511758819663,0.0,0.26402511758819663,0.26880798297269004,0.26880798297269004,0.0,0.44390056,0.00029688603310456727,0.09743887186050415
8,"              precision    recall  f1-score   support

     class 0   0.903396  0.870545  0.886667      1375
     class 1   0.737864  0.749507  0.743640       507
     class 2   0.732240  0.827160  0.776812       324

    accuracy                       0.836355      2206
   macro avg   0.791167  0.815738  0.802373      2206
weighted avg   0.840214  0.836355  0.837661      2206
","[[1197   96   82]
 [ 111  380   16]
 [  17   39  268]]",0.8363553943789664,0.8157376172418908,0.7011616317781867,0.8363553943789664,0.8023727275305595,0.8376605002273424,0.8363553943789664,0.8157376172418908,0.8363553943789664,0.8363553943789664,0.7911669137478223,0.8402143247229101,0.0704684656810477,0.2585552963482983,0.4937112082070384,0.27093492099243516,0.0,0.27093492099243516,0.2586754867008754,0.2586754867008754,0.0,0.42897233,0.0002944797916712104,0.10982465346654256
9,"              precision    recall  f1-score   support

     class 0   0.903349  0.863273  0.882856      1375
     class 1   0.711896  0.755424  0.733014       507
     class 2   0.740113  0.808642  0.772861       324

    accuracy                       0.830462      2206
   macro avg   0.785119  0.809113  0.796244      2206
weighted avg   0.835373  0.830462  0.832263      2206
","[[1187  108   80]
 [ 112  383   12]
 [  15   47  262]]",0.8304623753399819,0.8091129218992467,0.6912519309758463,0.8304623753399819,0.7962439304421327,0.8322631312819405,0.8304623753399819,0.8091129218992467,0.8304623753399819,0.8304623753399819,0.7851191530548124,0.8353726648827441,0.08383940573447757,0.26919132359868936,0.5296588474164401,0.2534684914677849,0.0,0.2534684914677849,0.2469798790557044,0.2469798790557044,0.0,0.46358305,0.0002914061984619919,0.12387381792068482
