d0,mean_brier,se_brier,n,target_fold
0.5,0.16802487334464633,0.018976480065045986,365,0
0.75,0.16720006444891766,0.01917056911959106,365,0
1.0,0.16651913314244612,0.019274556332278838,365,0
1.5,0.16559275038066817,0.019347271057846727,365,0
2.0,0.16513429630287543,0.0193714705733662,365,0
3.0,0.1648395076630583,0.019385648169605623,365,0
4.0,0.16480676918754722,0.019388121124896643,365,0
5.0,0.16480798554837517,0.019388483268002178,365,0
6.0,0.1648079740585129,0.019388483527531798,365,0
8.0,0.1648079740585129,0.019388483527531798,365,0
10.0,0.16480797405851297,0.019388483527531798,365,0
12.0,0.1648079740585129,0.019388483527531798,365,0
0.5,0.1720670810715808,0.019096959572885704,364,1
0.75,0.17145975125841117,0.019300335146489503,364,1
1.0,0.17087615956529145,0.019408821491129085,364,1
1.5,0.1700742442670698,0.01948761834776427,364,1
2.0,0.16972821180670508,0.019518356532249294,364,1
3.0,0.16957181384522657,0.019536482779438057,364,1
4.0,0.1696036163852043,0.01953951269641949,364,1
5.0,0.16962641700864783,0.019539938220706498,364,1
6.0,0.16962695756457144,0.019539940307338095,364,1
8.0,0.16962695756457144,0.019539940307338098,364,1
10.0,0.16962695756457144,0.019539940307338098,364,1
12.0,0.16962695756457144,0.019539940307338095,364,1
0.5,0.1573832594924592,0.017561062047507816,384,2
0.75,0.15663717697534107,0.017728475377321543,384,2
1.0,0.15595911861365275,0.017815191217856293,384,2
1.5,0.1551166309398844,0.017890500825591158,384,2
2.0,0.1546350772643054,0.017913500833048258,384,2
3.0,0.15433571261298143,0.017925021763764322,384,2
4.0,0.15433283841170212,0.01792746425002942,384,2
5.0,0.15435472021218802,0.017927923659353567,384,2
6.0,0.15435523261415726,0.017927926842227434,384,2
8.0,0.15435523261415726,0.017927926842227434,384,2
10.0,0.15435523261415726,0.017927926842227434,384,2
12.0,0.15435523261415726,0.017927926842227434,384,2
0.5,0.14035451036225502,0.017541329809714873,365,3
0.75,0.13935669212202023,0.017687571944238364,365,3
1.0,0.13856718992435538,0.01775569823036484,365,3
1.5,0.13767400520681175,0.017799605853554275,365,3
2.0,0.13726602732589416,0.017810107767743857,365,3
3.0,0.13702314181182046,0.017816717416247276,365,3
4.0,0.13700752553050521,0.017816658252264448,365,3
5.0,0.1370284694537523,0.017816847443176638,365,3
6.0,0.13702902001856299,0.01781685219547389,365,3
8.0,0.13702902001856299,0.01781685219547389,365,3
10.0,0.13702902001856299,0.01781685219547389,365,3
12.0,0.13702902001856299,0.01781685219547389,365,3
0.5,0.16359859921441458,0.018903950043149022,342,4
0.75,0.16282108022501343,0.01911417941061102,342,4
1.0,0.16207098237165005,0.019214442396608664,342,4
1.5,0.16090504706057304,0.019270579595480897,342,4
2.0,0.16035774334991099,0.019294347933375772,342,4
3.0,0.16002992836426172,0.019306025832070417,342,4
4.0,0.16002708383594025,0.019308998041287433,342,4
5.0,0.16005124615758493,0.019309523287224756,342,4
6.0,0.16005182148611177,0.01930952651621023,342,4
8.0,0.16005182148611177,0.01930952651621023,342,4
10.0,0.16005182148611177,0.01930952651621023,342,4
12.0,0.16005182148611177,0.01930952651621023,342,4
