d0,mean_brier,se_brier,n,target_fold
0.5,0.18794027091565702,0.018188381597614527,365,0
0.75,0.187089111528937,0.018506322865214784,365,0
1.0,0.18589865621026866,0.01864380596856635,365,0
1.5,0.18473215999679976,0.018763444584217272,365,0
2.0,0.1846601894093128,0.018819278554128953,365,0
3.0,0.18471049897126843,0.018842332932241874,365,0
4.0,0.18466157420262916,0.01883711869927303,365,0
5.0,0.18465574515165786,0.01883603850080975,365,0
6.0,0.18465573030055618,0.01883603886699257,365,0
8.0,0.18465573030055618,0.01883603886699257,365,0
10.0,0.18465573030055618,0.01883603886699257,365,0
12.0,0.18465573030055618,0.01883603886699257,365,0
0.5,0.19273375497210504,0.01886093832592094,364,1
0.75,0.19192713701571323,0.01918980243993542,364,1
1.0,0.1907407106287444,0.019314346036466805,364,1
1.5,0.18944936680658658,0.019420053859684074,364,1
2.0,0.18908631081721,0.019459929285015866,364,1
3.0,0.18887129116693582,0.019467754264234777,364,1
4.0,0.18884205137530274,0.01946430619771645,364,1
5.0,0.18883875629581534,0.01946331103963781,364,1
6.0,0.18883883147531538,0.01946330914389587,364,1
8.0,0.18883883147531538,0.01946330914389587,364,1
10.0,0.18883883147531538,0.01946330914389587,364,1
12.0,0.18883883147531538,0.01946330914389587,364,1
0.5,0.18411548086903542,0.017369932785726527,384,2
0.75,0.18325669325088423,0.01763193104072744,384,2
1.0,0.1820296561572449,0.01773687562895051,384,2
1.5,0.1808591955289509,0.017840862428720836,384,2
2.0,0.18066596900238643,0.017885906943423825,384,2
3.0,0.180604101234201,0.017898679626331772,384,2
4.0,0.18053982033451177,0.01789170762376128,384,2
5.0,0.18053610207721937,0.017890727741913394,384,2
6.0,0.18053617334112046,0.017890725975388655,384,2
8.0,0.18053617334112046,0.01789072597538866,384,2
10.0,0.18053617334112046,0.017890725975388655,384,2
12.0,0.18053617334112046,0.017890725975388655,384,2
0.5,0.17081027432733573,0.016817157476857515,365,3
0.75,0.16964861607584625,0.01705851586113863,365,3
1.0,0.16832620502180468,0.01715019286670028,365,3
1.5,0.16686080682603854,0.017218033722694377,365,3
2.0,0.16656601414035369,0.017250576958283564,365,3
3.0,0.16652683922165137,0.017266783945853924,365,3
4.0,0.16646917180375959,0.01726098120696579,365,3
5.0,0.16647009107925692,0.01726104724941899,365,3
6.0,0.1664701809038874,0.017261045033828956,365,3
8.0,0.16647018090388743,0.017261045033828956,365,3
10.0,0.16647018090388743,0.017261045033828956,365,3
12.0,0.1664701809038874,0.017261045033828956,365,3
0.5,0.18864356404865162,0.01876156948708113,342,4
0.75,0.1884314876648296,0.019144672863962636,342,4
1.0,0.18715700834141757,0.019281248981676737,342,4
1.5,0.1856050224949341,0.01940499868475935,342,4
2.0,0.18536990867637682,0.01946454356487268,342,4
3.0,0.18529000136836946,0.01948330738892422,342,4
4.0,0.1852132814072986,0.01947529160909528,342,4
5.0,0.18520897410926576,0.01947416262656148,342,4
6.0,0.185209054124874,0.01947416052363078,342,4
8.0,0.185209054124874,0.01947416052363078,342,4
10.0,0.185209054124874,0.01947416052363078,342,4
12.0,0.185209054124874,0.01947416052363078,342,4
