d0,mean_brier,se_brier,n
0.5,0.030984161447221315,0.007084016141311122,791
0.75,0.030544509441947795,0.007124063517949993,791
1.0,0.030242033067881414,0.007131744689114326,791
1.5,0.030092302448156815,0.00713428898956204,791
2.0,0.030071764264801678,0.007135165285749102,791
3.0,0.030072061598611036,0.007136595434743729,791
4.0,0.03006997772601308,0.007136702125160269,791
5.0,0.030069777722796395,0.007136701467161259,791
6.0,0.030069777722796395,0.007136701467161259,791
8.0,0.030069777722796395,0.007136701467161259,791
10.0,0.030069777722796395,0.007136701467161259,791
12.0,0.030069777722796395,0.007136701467161259,791
