epoch,report,confusion_matrix,accuracy,balanced_accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,ECE,Brier,NLL,Entropy,Epistemic,Aleatoric,train_loss,train_ce_loss,train_parcel_loss,test_loss,learning_rate,time
0,"              precision    recall  f1-score   support

     class 0   0.977700  0.905927  0.940446      1839
     class 1   0.710843  0.860417  0.778511       480
     class 2   0.698980  0.765363  0.730667       358

    accuracy                       0.878969      2677
   macro avg   0.795841  0.843902  0.816541      2677
weighted avg   0.892577  0.878969  0.883356      2677
","[[1666  104   69]
 [  18  413   49]
 [  20   64  274]]",0.8789689951438177,0.8439023098234709,0.7599672557332217,0.8789689951438177,0.8165411517526827,0.8833559846524067,0.8789689951438177,0.8439023098234709,0.8789689951438177,0.8789689951438177,0.7958408319490475,0.8925771198260656,0.09329297949589074,0.2085401429159248,0.41582197858545794,0.5597014360078747,0.0,0.5597014360078747,0.6502342064949599,0.6502342064949599,0.0,0.37406725,0.00011999999999999999,0.26673632860183716
1,"              precision    recall  f1-score   support

     class 0   0.972466  0.902664  0.936266      1839
     class 1   0.737649  0.902083  0.811621       480
     class 2   0.725849  0.776536  0.750337       358

    accuracy                       0.885693      2677
   macro avg   0.811988  0.860428  0.832742      2677
weighted avg   0.897382  0.885693  0.889052      2677
","[[1660   99   80]
 [  22  433   25]
 [  25   55  278]]",0.8856929398580501,0.8604280459180006,0.7729772783834523,0.8856929398580501,0.8327416552309205,0.8890521515654702,0.8856929398580501,0.8604280459180006,0.8856929398580501,0.8856929398580501,0.8119879807246181,0.8973817294580246,0.07354436772713498,0.1852561674729305,0.38307251211200943,0.5001376424141111,0.0,0.5001376424141111,0.40989727120507846,0.40989727120507846,0.0,0.4320622,0.00017999999999999998,0.5365031838417054
2,"              precision    recall  f1-score   support

     class 0   0.960828  0.933660  0.947049      1839
     class 1   0.832692  0.902083  0.866000       480
     class 2   0.781081  0.807263  0.793956       358

    accuracy                       0.911095      2677
   macro avg   0.858201  0.881002  0.869002      2677
weighted avg   0.913815  0.911095  0.912043      2677
","[[1717   57   65]
 [  31  433   16]
 [  39   30  289]]",0.9110945087784834,0.8810018335910437,0.8178586702710368,0.9110945087784834,0.8690017112874254,0.9120431602815933,0.9110945087784834,0.8810018335910437,0.9110945087784834,0.9110945087784834,0.8582005308222431,0.9138148678787404,0.03402051197213929,0.1426516266255305,0.28618541552553045,0.3501499486082154,0.0,0.3501499486082154,0.32966953719204123,0.32966953719204123,0.0,0.33074263,0.00023999999999999998,0.8054629365603129
3,"              precision    recall  f1-score   support

     class 0   0.966723  0.932028  0.949059      1839
     class 1   0.885281  0.852083  0.868365       480
     class 2   0.726244  0.896648  0.802500       358

    accuracy                       0.912962      2677
   macro avg   0.859416  0.893587  0.873308      2677
weighted avg   0.919961  0.912962  0.914990      2677
","[[1714   46   79]
 [  29  409   42]
 [  30    7  321]]",0.9129622711991034,0.893586551421052,0.8230916453806328,0.9129622711991034,0.8733079579039437,0.9149903711248712,0.9129622711991034,0.893586551421052,0.9129622711991034,0.9129622711991034,0.859416265806233,0.9199605015137906,0.02095006102463074,0.13406367017793608,0.2663302074342221,0.31130471007638305,0.0,0.31130471007638305,0.2914789088747718,0.2914789088747718,0.0,0.27761838,0.0003,1.0723632494608561
4,"              precision    recall  f1-score   support

     class 0   0.973505  0.779228  0.865600      1839
     class 1   0.523419  0.931250  0.670165       480
     class 2   0.774929  0.759777  0.767278       358

    accuracy                       0.803885      2677
   macro avg   0.757284  0.823418  0.767681      2677
weighted avg   0.866247  0.803885  0.817408      2677
","[[1433  338   68]
 [  22  447   11]
 [  17   69  272]]",0.8038849458348898,0.8234181258436343,0.6418152259207599,0.8038849458348898,0.7676807634796464,0.81740834674716,0.8038849458348898,0.8234181258436343,0.8038849458348898,0.8038849458348898,0.7572844711528187,0.8662466245006775,0.06308185693602461,0.30269485629635084,0.5510570489572776,0.38813110168856524,0.0,0.38813110168856524,0.243747263554145,0.243747263554145,0.0,1.0853605,0.0003,1.3414213498433432
5,"              precision    recall  f1-score   support

     class 0   0.977846  0.864057  0.917436      1839
     class 1   0.703640  0.845833  0.768212       480
     class 2   0.673684  0.893855  0.768307       358

    accuracy                       0.864774      2677
   macro avg   0.785057  0.867915  0.817985      2677
weighted avg   0.888003  0.864774  0.870736      2677
","[[1589  149  101]
 [  20  406   54]
 [  16   22  320]]",0.864774000747105,0.867914878136952,0.7402603737820777,0.864774000747105,0.8179852443554546,0.8707364392420391,0.864774000747105,0.867914878136952,0.864774000747105,0.864774000747105,0.7850566263679463,0.8880033587458181,0.018287981246333584,0.2040991624445421,0.38461225376795705,0.36959558620002797,0.0,0.36959558620002797,0.22864884341304953,0.22864884341304953,0.0,0.7447626,0.0002996528771620249,1.6078980843226114
6,"              precision    recall  f1-score   support

     class 0   0.965807  0.875476  0.918426      1839
     class 1   0.693038  0.912500  0.787770       480
     class 2   0.791005  0.835196  0.812500       358

    accuracy                       0.876728      2677
   macro avg   0.816617  0.874390  0.839565      2677
weighted avg   0.893521  0.876728  0.880833      2677
","[[1610  165   64]
 [  27  438   15]
 [  30   29  299]]",0.8767276802390735,0.8743904442641991,0.7587650790599317,0.8767276802390735,0.8395651134540172,0.8808326836888923,0.8767276802390735,0.8743904442641991,0.8767276802390735,0.8767276802390735,0.8166167014403697,0.893521441267369,0.048797680784532824,0.19169835454986345,0.36616463886334727,0.22550881232782952,0.0,0.22550881232782952,0.2071720648726279,0.2071720648726279,0.0,0.9303237,0.00029861319979567375,1.8742665330568948
7,"              precision    recall  f1-score   support

     class 0   0.975639  0.892877  0.932425      1839
     class 1   0.732348  0.929167  0.819100       480
     class 2   0.779221  0.837989  0.807537       358

    accuracy                       0.892043      2677
   macro avg   0.829069  0.886677  0.853021      2677
weighted avg   0.905748  0.892043  0.895404      2677
","[[1642  125   72]
 [  21  446   13]
 [  20   38  300]]",0.8920433320881583,0.8866773522773186,0.787524628262232,0.8920433320881583,0.8530206208667573,0.8954035956627111,0.8920433320881583,0.8866773522773186,0.8920433320881583,0.8920433320881583,0.8290692104079529,0.9057481419689425,0.04325718420713841,0.1689396709344573,0.33007327999664343,0.20145183331174318,0.0,0.20145183331174318,0.19535292363302273,0.19535292363302273,0.0,0.67590296,0.00029688603310456727,2.1460644801457724
8,"              precision    recall  f1-score   support

     class 0   0.977974  0.845024  0.906651      1839
     class 1   0.658307  0.875000  0.751342       480
     class 2   0.693333  0.871508  0.772277       358

    accuracy                       0.853941      2677
   macro avg   0.776538  0.863844  0.810090      2677
weighted avg   0.882590  0.853941  0.860833      2677
","[[1554  185  100]
 [  22  420   38]
 [  13   33  312]]",0.8539409787075084,0.8638442832362743,0.7228600901605531,0.8539409787075084,0.8100900059383661,0.8608332623254197,0.8539409787075084,0.8638442832362743,0.8539409787075084,0.8539409787075084,0.7765380372155399,0.8825902824874355,0.05031741967948867,0.22860788306352686,0.43059570339509307,0.2821449545368769,0.0,0.2821449545368769,0.19527724152430892,0.19527724152430892,0.0,1.0414326,0.0002944797916712104,2.4120902180671693
9,"              precision    recall  f1-score   support

     class 0   0.951499  0.949429  0.950463      1839
     class 1   0.872247  0.825000  0.847966       480
     class 2   0.770619  0.835196  0.801609       358

    accuracy                       0.911842      2677
   macro avg   0.864788  0.869875  0.866679      2677
weighted avg   0.913099  0.911842  0.912178      2677
","[[1746   44   49]
 [  44  396   40]
 [  45   14  299]]",0.9118416137467314,0.8698748560822162,0.8160748077113429,0.9118416137467314,0.8666790095960848,0.9121779422261528,0.9118416137467314,0.8698748560822162,0.9118416137467314,0.9118416137467314,0.864787963446151,0.9130989361024633,0.011582787307526318,0.1396511383551297,0.2741051647870055,0.2483162653611385,0.0,0.2483162653611385,0.16994512534107675,0.16994512534107675,0.0,0.37450472,0.0002914061984619919,2.678199565410614
