epoch,report,confusion_matrix,accuracy,balanced_accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,ECE,Brier,NLL,Entropy,Epistemic,Aleatoric,train_loss,train_ce_loss,train_parcel_loss,test_loss,learning_rate,time
0,"              precision    recall  f1-score   support

     class 0   0.947084  0.856444  0.899486      1839
     class 1   0.708108  0.818750  0.759420       480
     class 2   0.579521  0.743017  0.651163       358

    accuracy                       0.834516      2677
   macro avg   0.744904  0.806070  0.770023      2677
weighted avg   0.855079  0.834516  0.841163      2677
","[[1575  121  143]
 [  37  393   50]
 [  51   41  266]]",0.8345162495330594,0.8060701597297535,0.6775093477640148,0.8345162495330594,0.7700230295160594,0.8411627892804633,0.8345162495330594,0.8060701597297535,0.8345162495330594,0.8345162495330594,0.7449041297201368,0.8550791976995251,0.14788286329156367,0.2900658420838095,0.5529490646855829,0.7625831649206323,0.0,0.7625831649206323,0.7300433828072115,0.7300433828072115,0.0,0.55098253,0.00011999999999999999,0.02248694101969401
1,"              precision    recall  f1-score   support

     class 0   0.955778  0.881457  0.917115      1839
     class 1   0.777365  0.872917  0.822375       480
     class 2   0.626697  0.773743  0.692500       358

    accuracy                       0.865521      2677
   macro avg   0.786614  0.842706  0.810663      2677
weighted avg   0.879779  0.865521  0.870089      2677
","[[1621   80  138]
 [  34  419   27]
 [  41   40  277]]",0.865521105715353,0.8427056657279733,0.7345437687942664,0.865521105715353,0.8106631486434778,0.8700891418653804,0.865521105715353,0.8427056657279733,0.865521105715353,0.865521105715353,0.7866135420390613,0.8797793049031524,0.04608954507576955,0.20833078691236118,0.40614123581347056,0.4849192751939208,0.0,0.4849192751939208,0.4305715493180535,0.4305715493180535,0.0,0.38017154,0.00017999999999999998,0.04148202737172445
2,"              precision    recall  f1-score   support

     class 0   0.968072  0.873844  0.918548      1839
     class 1   0.737762  0.879167  0.802281       480
     class 2   0.617978  0.768156  0.684932       358

    accuracy                       0.860665      2677
   macro avg   0.774604  0.840389  0.801920      2677
weighted avg   0.879958  0.860665  0.866459      2677
","[[1607   91  141]
 [  29  422   29]
 [  24   59  275]]",0.8606649234217407,0.840389190647901,0.7286420512001053,0.8606649234217407,0.8019203440955947,0.8664589452758398,0.8606649234217407,0.840389190647901,0.8606649234217407,0.8606649234217407,0.7746040183362507,0.879957702256664,0.035400722249570075,0.20487049546341576,0.3840445808202509,0.40060332229329343,0.0,0.40060332229329343,0.36542664908550004,0.36542664908550004,0.0,0.43981937,0.00023999999999999998,0.06212245623270671
3,"              precision    recall  f1-score   support

     class 0   0.974800  0.862425  0.915176      1839
     class 1   0.707980  0.868750  0.780168       480
     class 2   0.631236  0.812849  0.710623       358

    accuracy                       0.856929      2677
   macro avg   0.771339  0.848008  0.801989      2677
weighted avg   0.881013  0.856929  0.863613      2677
","[[1586  119  134]
 [  27  417   36]
 [  14   53  291]]",0.8569293985805005,0.8480081310383447,0.724866215593216,0.8569293985805005,0.8019890292238486,0.8636131524515716,0.8569293985805005,0.8480081310383447,0.8569293985805005,0.8569293985805005,0.7713387716176993,0.8810125212007339,0.025663683519824204,0.21591317206239294,0.4082958771775543,0.3421570752384843,0.0,0.3421570752384843,0.32278921184214676,0.32278921184214676,0.0,0.5881244,0.0003,0.08196338415145873
4,"              precision    recall  f1-score   support

     class 0   0.976103  0.866232  0.917891      1839
     class 1   0.726776  0.831250  0.775510       480
     class 2   0.643145  0.891061  0.747073       358

    accuracy                       0.863280      2677
   macro avg   0.782008  0.862848  0.813491      2677
weighted avg   0.886870  0.863280  0.869518      2677
","[[1593  124  122]
 [  26  399   55]
 [  13   26  319]]",0.8632797908106089,0.8628477000495168,0.7369001499197232,0.8632797908106089,0.8134913004265424,0.8695176007470947,0.8632797908106089,0.8628477000495168,0.8632797908106089,0.8632797908106089,0.7820080195836487,0.8868702785139553,0.034187644341402,0.2108433915013893,0.39790488959616477,0.30782504553866474,0.0,0.30782504553866474,0.29533243128521874,0.29533243128521874,0.0,0.5967494,0.0003,0.10104738473892212
5,"              precision    recall  f1-score   support

     class 0   0.978882  0.856987  0.913888      1839
     class 1   0.724820  0.839583  0.777992       480
     class 2   0.630137  0.899441  0.741082       358

    accuracy                       0.859544      2677
   macro avg   0.777946  0.865337  0.810987      2677
weighted avg   0.886689  0.859544  0.866412      2677
","[[1576  127  136]
 [  24  403   53]
 [  10   26  322]]",0.8595442659693687,0.8653373891060946,0.7319950017586503,0.8595442659693687,0.810987354867254,0.8664115534963162,0.8595442659693687,0.8653373891060946,0.8595442659693687,0.8595442659693687,0.7779463725879672,0.8866890867821883,0.02619034439081771,0.2228381347928986,0.43005109630343463,0.34768711206775305,0.0,0.34768711206775305,0.2744213615290143,0.2744213615290143,0.0,0.7712322,0.0002996528771620249,0.12066848675409952
6,"              precision    recall  f1-score   support

     class 0   0.968179  0.893420  0.929299      1839
     class 1   0.766409  0.827083  0.795591       480
     class 2   0.679654  0.877095  0.765854       358

    accuracy                       0.879343      2677
   macro avg   0.804747  0.865866  0.830248      2677
weighted avg   0.893416  0.879343  0.883466      2677
","[[1643  101   95]
 [  30  397   53]
 [  24   20  314]]",0.8793425476279417,0.8658662141800407,0.7618976679122459,0.8793425476279417,0.8302478278117505,0.8834664105009628,0.8793425476279417,0.8658662141800407,0.8793425476279417,0.8793425476279417,0.8047473619070554,0.8934157276891791,0.02546101892993191,0.18247313423193356,0.35715696559877413,0.2883920367252222,0.0,0.2883920367252222,0.2543469520116394,0.2543469520116394,0.0,0.4565735,0.00029861319979567375,0.14023319085439045
7,"              precision    recall  f1-score   support

     class 0   0.976147  0.867863  0.918826      1839
     class 1   0.705584  0.868750  0.778711       480
     class 2   0.707317  0.891061  0.788628       358

    accuracy                       0.871124      2677
   macro avg   0.796349  0.875891  0.828722      2677
weighted avg   0.891682  0.871124  0.876291      2677
","[[1596  150   93]
 [  24  417   39]
 [  15   24  319]]",0.8711243929772133,0.8758914738396202,0.7513572756598192,0.8711243929772133,0.8287216605431867,0.8762908183966392,0.8711243929772133,0.8758914738396202,0.8711243929772133,0.8711243929772133,0.7963492061689118,0.8916823534534687,0.04754919356433282,0.20720149523278153,0.40643940409554036,0.2620146774902124,0.0,0.2620146774902124,0.2412068359553814,0.2412068359553814,0.0,0.8562185,0.00029688603310456727,0.1626943826675415
8,"              precision    recall  f1-score   support

     class 0   0.973278  0.891245  0.930457      1839
     class 1   0.785433  0.831250  0.807692       480
     class 2   0.659794  0.893855  0.759193       358

    accuracy                       0.880837      2677
   macro avg   0.806168  0.872117  0.832448      2677
weighted avg   0.897674  0.880837  0.885541      2677
","[[1639   87  113]
 [  29  399   52]
 [  16   22  320]]",0.8808367575644378,0.8721166635275628,0.7661645741505368,0.8808367575644378,0.8324475538760314,0.8855412576679624,0.8808367575644378,0.8721166635275628,0.8808367575644378,0.8808367575644378,0.8061682650126163,0.8976735657797008,0.040574310251031365,0.18394924221280196,0.3620326768758085,0.2408069431405659,0.0,0.2408069431405659,0.22888429903171278,0.22888429903171278,0.0,0.5219618,0.0002944797916712104,0.1819484829902649
9,"              precision    recall  f1-score   support

     class 0   0.975625  0.870582  0.920115      1839
     class 1   0.735915  0.870833  0.797710       480
     class 2   0.694444  0.907821  0.786925       358

    accuracy                       0.875607      2677
   macro avg   0.801995  0.883079  0.834917      2677
weighted avg   0.895041  0.875607  0.880355      2677
","[[1601  132  106]
 [  25  418   37]
 [  15   18  325]]",0.8756070227867015,0.8830788001130078,0.7596122368301124,0.8756070227867015,0.8349166018867233,0.8803553496445354,0.8756070227867015,0.8830788001130078,0.8756070227867015,0.8756070227867015,0.8019948521789549,0.8950408002687692,0.04638164472712468,0.20083624013328177,0.4029373957401878,0.2430393947290184,0.0,0.2430393947290184,0.22388859254054047,0.22388859254054047,0.0,0.7742115,0.0002914061984619919,0.2014148195584615
10,"              precision    recall  f1-score   support

     class 0   0.973949  0.894508  0.932540      1839
     class 1   0.741993  0.868750  0.800384       480
     class 2   0.737089  0.877095  0.801020       358

    accuracy                       0.887561      2677
   macro avg   0.817677  0.880118  0.844648      2677
weighted avg   0.900682  0.887561  0.891255      2677
","[[1645  119   75]
 [  26  417   37]
 [  18   26  314]]",0.8875607022786701,0.8801176189289985,0.7785103862297588,0.8875607022786701,0.8446479892874189,0.8912551525399304,0.8875607022786701,0.8801176189289985,0.8875607022786701,0.8875607022786701,0.8176770555791432,0.9006824356543803,0.03615287854540909,0.1779217352805317,0.35584104409745904,0.23657034137075092,0.0,0.23657034137075092,0.21956691882488402,0.21956691882488402,0.0,0.55731964,0.0002876802277140706,0.22145578463872273
